trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_friedrich_august|Friedrich August I., König von Sachsen 
trp_friedrich_august_pl|Kommandant 
trp_british_infantry_flag_bearer|33rd Regiment of Foot
trp_british_infantry2_flag_bearer|5th Line Battalion King's German Legion
trp_british_highlander_flag_bearer|42nd Regiment of Foot (Black Watch)
trp_british_foot_guard_flag_bearer|Coldstream Regiment of Garde zu Fuß
trp_british_light_infantry_flag_bearer|51st (2nd Yorkshire West Riding) Regiment of Foot
trp_british_rifle_flag_bearer|95th Regiment of Foot (Rifles)
trp_british_hussar_flag_bearer|1st KGL Husars
trp_british_light_dragoon_flag_bearer|23rd Leichte Dragoner
trp_british_dragoon_flag_bearer|6th Dragoner
trp_british_horseguard_flag_bearer|Royal Horse Guards Blue
trp_british_arty_flag_bearer|Royal Foot Artillery
trp_british_ship_flag_bearer|Schiffscrew
trp_french_infantry_flag_bearer|45e Regiment d'Infanterie de ligne
trp_french_infantry2_flag_bearer|84e Regiment d'Infanterie de ligne
trp_french_infantry_vistula_flag_bearer|Legion de la Vistule
trp_french_old_guard_flag_bearer|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_voltigeur_flag_bearer|15eme Regiment d'Infanterie Legere
trp_french_hussar_flag_bearer|2e Regiment de Hussards
trp_french_lancer_flag_bearer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_dragoon_flag_bearer|Regiment de Dragons de l'Imperatrice
trp_french_cuirassier_flag_bearer|9eme Regiment de Kürassiere
trp_french_carabineer_flag_bearer|1er Regiment de Carabiniers
trp_french_grenadier_a_cheval_flag_bearer|Regiment de Grenadiere a Cheval de la Garde
trp_french_arty_flag_bearer|L'Artillerie
trp_french_ship_flag_bearer|Schiffscrew
trp_prussian_infantry_flag_bearer|8. Brandenburgische Infanterie-Regiment
trp_prussian_infantry2_flag_bearer|23. Rheinische Infanterie-Regiment
trp_prussian_infantry_kurmark_flag_bearer|3. Kurmarkische Landwehr-Regiment
trp_prussian_infantry_freikorps_flag_bearer|Lutzowsches Freikorps
trp_prussian_infantry_15_flag_bearer|1. Garde-Regiment zu Fuss
trp_prussian_infantry_rifle_flag_bearer|Schlesische Schutzen
trp_prussian_dragoon_flag_bearer|6. Neumarkische Dragoner
trp_prussian_hussar_flag_bearer|1. Leib-Husaren-Regiment (Totenkopfhusaren)
trp_prussian_landwehr_cav_flag_bearer|Westfalische Landwehrkavallerie
trp_prussian_cuirassier_flag_bearer|3. Brandenburgische Kurassier Regiment
trp_prussian_arty_flag_bearer|36. Regiment der Fussartillerie
trp_russian_opol_flag_bearer|Sankt-Peterburzhskoye Opolcheniye
trp_russian_infantry_flag_bearer|Simbirskiy Pehotniy Polk
trp_russian_grenadier_flag_bearer|Pavlovskiy Grenaderskiy Polk
trp_russian_foot_guard_flag_bearer|Leib-Gvardii Preobrazhenskiy Polk
trp_russian_infantry_rifle_flag_bearer|21-y Yegerskiy Polk
trp_russian_hussar_flag_bearer|Sumskoy Gusarskiy Polk
trp_russian_uhlan_flag_bearer|Litovskiy Ulanskiy Polk
trp_russian_cossack_flag_bearer|Donskoy Kazachiy Polk
trp_russian_dragoon_flag_bearer|Kievskiy Dragunskiy Polk
trp_russian_horse_guard_flag_bearer|Kavalergardskiy Polk
trp_russian_arty_flag_bearer|8-ya Batarejnaya Rota
trp_austrian_infantry_flag_bearer|Infanterie Regiment Nr.14 Erzherzog Rudolf
trp_austrian_infantry2_flag_bearer|Infanterie Regiment Nr.62 Freiherr von Wacquant
trp_austrian_grenzer_flag_bearer|Grenz Regiment Oguliner Nr. 3
trp_austrian_grenadier_flag_bearer|Grenadier Battalion Purcell
trp_austrian_infantry_rifle_flag_bearer|Jaeger Battalion 2
trp_austrian_hussar_flag_bearer|Husar Regiment Graf von Hessen-Homburg Nr. 4
trp_austrian_uhlan_flag_bearer|Ulan Regiment Schwarzenberg Nr. 2
trp_austrian_light_horse_flag_bearer|Chevauleger Regiment Furst von Hohenzollern Nr. 2
trp_austrian_dragoon_flag_bearer|Dragoner Regiment Erzherzog Ferdinand Nr. 5
trp_austrian_cuirassier_flag_bearer|Kurassier Regiment Kaiser Franz Nr. 1
trp_austrian_arty_flag_bearer|Artillerie Regiment Prinz zu Lothringen Nr. 7
trp_rhine_infantry_bavaria_flag_bearer|2. Infanterie-Regiment Kronprinz, Bayern 
trp_rhine_infantry_wurttemberg_flag_bearer|Infanterie-Reg. Nr.2 Herzog Wilhelm, Württemberg 
trp_rhine_infantry_saxony_flag_bearer|Infanterie-Regiment Prinz Friedrich August, Sachsen 
trp_rhine_infantry_wurttemberg2_flag_bearer|Infanterie-Reg. No.4 von Franquemont, Württemberg 
trp_rhine_grenadier_guard_flag_bearer|Grenadiere de la Garde, Westphalen 
trp_rhine_light_infantry_hessen_flag_bearer|Infanterie-Reg. Groß- und Erbprinz, Hessen-Darmstadt 
trp_rhine_light_infantry_bavaria_flag_bearer|7. Leichtes Infanterie-Bataillon, Bayern 
trp_rhine_mounted_jaeger_flag_bearer|Reitende Jaeger, Nassau 
trp_rhine_uhlan_flag_bearer|Ulanen Regiment Prinz Clemens, Sachsen 
trp_rhine_light_dragoon_flag_bearer|Leichtes Dragoner-Regiment, Baden 
trp_rhine_cuirassier_flag_bearer|1er Regiment de Cuirassiers, Westphalen 
trp_rhine_garde_du_corps_flag_bearer|Garde du Corp, Sachsen 
trp_rhine_arty_flag_bearer|Artillerie-Regiment, Bayern 
trp_british_infantry_flag_bearer_pl|Flaggenträger
trp_british_infantry2_flag_bearer_pl|Flaggenträger
trp_british_highlander_flag_bearer_pl|Flaggenträger
trp_british_foot_guard_flag_bearer_pl|Flaggenträger
trp_british_light_infantry_flag_bearer_pl|Flaggenträger
trp_british_rifle_flag_bearer_pl|Flaggenträger
trp_british_hussar_flag_bearer_pl|Flaggenträger
trp_british_light_dragoon_flag_bearer_pl|Flaggenträger
trp_british_dragoon_flag_bearer_pl|Flaggenträger
trp_british_horseguard_flag_bearer_pl|Flaggenträger
trp_british_arty_flag_bearer_pl|Flaggenträger
trp_british_ship_flag_bearer_pl|Flaggenträger
trp_french_infantry_flag_bearer_pl|Flaggenträger
trp_french_infantry2_flag_bearer_pl|Flaggenträger
trp_french_infantry_vistula_flag_bearer_pl|Flaggenträger
trp_french_old_guard_flag_bearer_pl|Flaggenträger
trp_french_voltigeur_flag_bearer_pl|Flaggenträger
trp_french_hussar_flag_bearer_pl|Flaggenträger
trp_french_lancer_flag_bearer_pl|Flaggenträger
trp_french_dragoon_flag_bearer_pl|Flaggenträger
trp_french_cuirassier_flag_bearer_pl|Flaggenträger
trp_french_carabineer_flag_bearer_pl|Flaggenträger
trp_french_grenadier_a_cheval_flag_bearer_pl|Flaggenträger
trp_french_arty_flag_bearer_pl|Flaggenträger
trp_french_ship_flag_bearer_pl|Flaggenträger
trp_prussian_infantry_flag_bearer_pl|Flaggenträger
trp_prussian_infantry2_flag_bearer_pl|Flaggenträger
trp_prussian_infantry_kurmark_flag_bearer_pl|Flaggenträger
trp_prussian_infantry_freikorps_flag_bearer_pl|Flaggenträger
trp_prussian_infantry_15_flag_bearer_pl|Flaggenträger
trp_prussian_infantry_rifle_flag_bearer_pl|Flaggenträger
trp_prussian_dragoon_flag_bearer_pl|Flaggenträger
trp_prussian_hussar_flag_bearer_pl|Flaggenträger
trp_prussian_landwehr_cav_flag_bearer_pl|Flaggenträger
trp_prussian_cuirassier_flag_bearer_pl|Flaggenträger
trp_prussian_arty_flag_bearer_pl|Flaggenträger
trp_pruss_brun_flag_bearer_pl|Flaggenträger
trp_pruss_freiw_flag_bearer_pl|Flaggenträger
trp_pruss_cav_silesian_flag_bearer_pl|Flaggenträger
trp_pruss_horseart_flag_bearer_pl|Flaggenträger
trp_russian_opol_flag_bearer_pl|Flaggenträger
trp_russian_infantry_flag_bearer_pl|Flaggenträger
trp_russian_grenadier_flag_bearer_pl|Flaggenträger
trp_russian_foot_guard_flag_bearer_pl|Flaggenträger
trp_russian_infantry_rifle_flag_bearer_pl|Flaggenträger
trp_russian_hussar_flag_bearer_pl|Flaggenträger
trp_russian_uhlan_flag_bearer_pl|Flaggenträger
trp_russian_cossack_flag_bearer_pl|Flaggenträger
trp_russian_dragoon_flag_bearer_pl|Flaggenträger
trp_russian_horse_guard_flag_bearer_pl|Flaggenträger
trp_russian_arty_flag_bearer_pl|Flaggenträger
trp_austrian_infantry_flag_bearer_pl|Flaggenträger
trp_austrian_infantry2_flag_bearer_pl|Flaggenträger
trp_austrian_grenzer_flag_bearer_pl|Flaggenträger
trp_austrian_grenadier_flag_bearer_pl|Flaggenträger
trp_austrian_infantry_rifle_flag_bearer_pl|Flaggenträger
trp_austrian_hussar_flag_bearer_pl|Flaggenträger
trp_austrian_uhlan_flag_bearer_pl|Flaggenträger
trp_austrian_light_horse_flag_bearer_pl|Flaggenträger
trp_austrian_dragoon_flag_bearer_pl|Flaggenträger
trp_austrian_cuirassier_flag_bearer_pl|Flaggenträger
trp_austrian_arty_flag_bearer_pl|Flaggenträger
trp_rhine_infantry_bavaria_flag_bearer_pl|Flaggenträger
trp_rhine_infantry_wurttemberg_flag_bearer_pl|Flaggenträger
trp_rhine_infantry_saxony_flag_bearer_pl|Flaggenträger
trp_rhine_infantry_wurttemberg2_flag_bearer_pl|Flaggenträger
trp_rhine_grenadier_guard_flag_bearer_pl|Flaggenträger
trp_rhine_light_infantry_hessen_flag_bearer_pl|Flaggenträger
trp_rhine_light_infantry_bavaria_flag_bearer_pl|Flaggenträger
trp_rhine_mounted_jaeger_flag_bearer_pl|Flaggenträger
trp_rhine_uhlan_flag_bearer_pl|Flaggenträger
trp_rhine_light_dragoon_flag_bearer_pl|Flaggenträger
trp_rhine_cuirassier_flag_bearer_pl|Flaggenträger
trp_rhine_garde_du_corps_flag_bearer_pl|Flaggenträger
trp_rhine_arty_flag_bearer_pl|Flaggenträger
trp_brit_canadian_infantry|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_pl|Linieninfanterie
trp_brit_canadian_infantry_flag_bearer|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_flag_bearer_pl|Flaggenträger
trp_brit_canadian_infantry_nco|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_nco_pl|Unteroffizier
trp_brit_canadian_infantry_officer|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_officer_pl|Offizier
trp_brit_canadian_infantry_drum|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_drum_pl|Trommler
trp_brit_canadian_infantry_flute|Kanadische Kolonialinfanterie
trp_brit_canadian_infantry_flute_pl|Flötenspieler
trp_british_infantry14|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_pl|Linieninfanterie
trp_british_infantry14_flag_bearer|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_flag_bearer_pl|Flaggenträger
trp_british_infantry14_nco|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_nco_pl|Unteroffizier
trp_british_infantry14_officer|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_officer_pl|Offizier
trp_british_infantry14_drum|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_drum_pl|Trommler
trp_british_infantry14_flute|14th Regiment of Foot (The Buckinghamshire)
trp_british_infantry14_flute_pl|Flötenspieler
trp_british_highlander78|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_pl|Linieninfanterie
trp_british_highlander78_flag_bearer|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_flag_bearer_pl|Flaggenträger
trp_british_highlander78_nco|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_nco_pl|Unteroffizier
trp_british_highlander78_officer|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_officer_pl|Offizier
trp_british_highlander78_drum|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_drum_pl|Trommler
trp_british_highlander78_pipes|78th Regiment of Foot (the Ross-shire Buffs)
trp_british_highlander78_pipes_pl|Piper
trp_brit_indian|5th West India Regiment of Foot
trp_brit_indian_pl|Garde zu Fuss
trp_brit_indian_flag_bearer|5th West India Regiment of Foot
trp_brit_indian_flag_bearer_pl|Flaggenträger
trp_brit_indian_nco|5th West India Regiment of Foot
trp_brit_indian_nco_pl|Unteroffizier
trp_brit_indian_officer|5th West India Regiment of Foot
trp_brit_indian_officer_pl|Offizier
trp_brit_indian_drum|5th West India Regiment of Foot
trp_brit_indian_drum_pl|Trommler
trp_brit_indian_flute|5th West India Regiment of Foot
trp_brit_indian_flute_pl|Flötenspieler
trp_brit_canadian_horsemen|Kanadische Kolonial-Leichtkavallerie
trp_brit_canadian_horsemen_pl|Husar
trp_brit_canadian_horsemen_flag_bearer|Kanadische Kolonial-Leichtkavallerie
trp_brit_canadian_horsemen_flag_bearer_pl|Flaggenträger
trp_brit_canadian_horsemen_nco|Kanadische Kolonial-Leichtkavallerie
trp_brit_canadian_horsemen_nco_pl|Unteroffizier
trp_brit_canadian_horsemen_officer|Kanadische Kolonial-Leichtkavallerie
trp_brit_canadian_horsemen_officer_pl|Offizier
trp_brit_canadian_horsemen_trumpet|Kanadische Kolonial-Leichtkavallerie
trp_brit_canadian_horsemen_trumpet_pl|Trompetenspieler
trp_brit_horseart|Königliche berittene Artillerie
trp_brit_horseart_pl|Berittene Artillerie
trp_brit_horseart_guard|Königliche berittene Artillerie
trp_brit_horseart_guard_pl|Artillery Guard
trp_brit_horseart_flag_bearer|Königliche berittene Artillerie
trp_brit_horseart_flag_bearer_pl|Flaggenträger
trp_brit_horseart_nco|Königliche berittene Artillerie
trp_brit_horseart_nco_pl|Artillerie Zug
trp_brit_horseart_officer|Königliche berittene Artillerie
trp_brit_horseart_officer_pl|Offizier
trp_french_infantry_swiss|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_pl|Linieninfanterie
trp_french_infantry_swiss_flag_bearer|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_flag_bearer_pl|Flaggenträger
trp_french_infantry_swiss_nco|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_nco_pl|Unteroffizier
trp_french_infantry_swiss_officer|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_officer_pl|Offizier
trp_french_infantry_swiss_drum|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_drum_pl|Trommler
trp_french_infantry_swiss_flute|4e Regiment d'Infanterie Suisse
trp_french_infantry_swiss_flute_pl|Flötenspieler
trp_french_infantry_1er|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_pl|Linieninfanterie
trp_french_infantry_1er_flag_bearer|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_flag_bearer_pl|Flaggenträger
trp_french_infantry_1er_nco|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_nco_pl|Unteroffizier
trp_french_infantry_1er_officer|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_officer_pl|Offizier
trp_french_infantry_1er_drum|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_drum_pl|Trommler
trp_french_infantry_1er_flute|1er Regiment d'Infanterie de ligne
trp_french_infantry_1er_flute_pl|Flötenspieler
trp_french_infantry3|3e Regiment d'Infanterie de ligne
trp_french_infantry3_pl|Linieninfanterie
trp_french_infantry3_flag_bearer|3e Regiment d'Infanterie de ligne
trp_french_infantry3_flag_bearer_pl|Flaggenträger
trp_french_infantry3_nco|3e Regiment d'Infanterie de ligne
trp_french_infantry3_nco_pl|Unteroffizier
trp_french_infantry3_officer|3e Regiment d'Infanterie de ligne
trp_french_infantry3_officer_pl|Offizier
trp_french_infantry3_drum|3e Regiment d'Infanterie de ligne
trp_french_infantry3_drum_pl|Trommler
trp_french_infantry3_flute|3e Regiment d'Infanterie de ligne
trp_french_infantry3_flute_pl|Flötenspieler
trp_french_infantry14|14e Regiment d'Infanterie de ligne
trp_french_infantry14_pl|Linieninfanterie
trp_french_infantry14_flag_bearer|14e Regiment d'Infanterie de ligne
trp_french_infantry14_flag_bearer_pl|Flaggenträger
trp_french_infantry14_nco|14e Regiment d'Infanterie de ligne
trp_french_infantry14_nco_pl|Unteroffizier
trp_french_infantry14_officer|14e Regiment d'Infanterie de ligne
trp_french_infantry14_officer_pl|Offizier
trp_french_infantry14_drum|14e Regiment d'Infanterie de ligne
trp_french_infantry14_drum_pl|Trommler
trp_french_infantry14_flute|14e Regiment d'Infanterie de ligne
trp_french_infantry14_flute_pl|Flötenspieler
trp_french_infantry65|65e Regiment d'Infanterie de ligne
trp_french_infantry65_pl|Linieninfanterie
trp_french_infantry65_flag_bearer|65e Regiment d'Infanterie de ligne
trp_french_infantry65_flag_bearer_pl|Flaggenträger
trp_french_infantry65_nco|65e Regiment d'Infanterie de ligne
trp_french_infantry65_nco_pl|Unteroffizier
trp_french_infantry65_officer|65e Regiment d'Infanterie de ligne
trp_french_infantry65_officer_pl|Offizier
trp_french_infantry65_drum|65e Regiment d'Infanterie de ligne
trp_french_infantry65_drum_pl|Trommler
trp_french_infantry65_flute|65e Regiment d'Infanterie de ligne
trp_french_infantry65_flute_pl|Flötenspieler
trp_french_guard_marines|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_pl|Garde zu Fuss
trp_french_guard_marines_flag_bearer|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_flag_bearer_pl|Flaggenträger
trp_french_guard_marines_nco|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_nco_pl|Unteroffizier
trp_french_guard_marines_officer|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_officer_pl|Offizier
trp_french_guard_marines_drum|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_drum_pl|Trommler
trp_french_guard_marines_flute|Regiment de Marins de la Garde Imperiale
trp_french_guard_marines_flute_pl|Flötenspieler
trp_french_gendarme|Legion de la Gendarmerie Imperiale
trp_french_gendarme_pl|Garde zu Fuss
trp_french_gendarme_flag_bearer|Legion de la Gendarmerie Imperiale
trp_french_gendarme_flag_bearer_pl|Flaggenträger
trp_french_gendarme_nco|Legion de la Gendarmerie Imperiale
trp_french_gendarme_nco_pl|Unteroffizier
trp_french_gendarme_officer|Legion de la Gendarmerie Imperiale
trp_french_gendarme_officer_pl|Offizier
trp_french_gendarme_drum|Legion de la Gendarmerie Imperiale
trp_french_gendarme_drum_pl|Trommler
trp_french_gendarme_flute|Legion de la Gendarmerie Imperiale
trp_french_gendarme_flute_pl|Flötenspieler
trp_french_guard_light|1er Regiment de Voltigeurs de la Garde Imperiale
trp_french_guard_light_pl|Leichte Infanterie
trp_french_guard_light_flag_bearer|1er Regiment de Voltigeurs de la Garde Imperiale
trp_french_guard_light_flag_bearer_pl|Flaggenträger
trp_french_guard_light_nco|1er Regiment de Voltigeurs de la Garde Imperiale
trp_french_guard_light_nco_pl|Unteroffizier
trp_french_guard_light_officer|1er Regiment de Voltigeurs de la Garde Imperiale
trp_french_guard_light_officer_pl|Offizier
trp_french_guard_light_horn|1er Regiment de Voltigeurs de la Garde Imperiale
trp_french_guard_light_horn_pl|Hornist
trp_french_corses|Bataillon de Tirailleurs Corses
trp_french_corses_pl|Jäger
trp_french_corses_flag_bearer|Bataillon de Tirailleurs Corses
trp_french_corses_flag_bearer_pl|Flaggenträger
trp_french_corses_nco|Bataillon de Tirailleurs Corses
trp_french_corses_nco_pl|Unteroffizier
trp_french_corses_officer|Bataillon de Tirailleurs Corses
trp_french_corses_officer_pl|Offizier
trp_french_corses_horn|Bataillon de Tirailleurs Corses
trp_french_corses_horn_pl|Hornist
trp_french_foot_dragoon|28e Regiment de Dragons a Pied
trp_french_foot_dragoon_pl|Jäger
trp_french_foot_dragoon_flag_bearer|28e Regiment de Dragons a Pied
trp_french_foot_dragoon_flag_bearer_pl|Flaggenträger
trp_french_foot_dragoon_nco|28e Regiment de Dragons a Pied
trp_french_foot_dragoon_nco_pl|Unteroffizier
trp_french_foot_dragoon_officer|28e Regiment de Dragons a Pied
trp_french_foot_dragoon_officer_pl|Offizier
trp_french_foot_dragoon_horn|28e Regiment de Dragons a Pied
trp_french_foot_dragoon_horn_pl|Hornist
trp_french_hussar5|5e Regiment de Hussards
trp_french_hussar5_pl|Husar
trp_french_hussar5_flag_bearer|5e Regiment de Hussards
trp_french_hussar5_flag_bearer_pl|Flaggenträger
trp_french_hussar5_nco|5e Regiment de Hussards
trp_french_hussar5_nco_pl|Unteroffizier
trp_french_hussar5_officer|5e Regiment de Hussards
trp_french_hussar5_officer_pl|Offizier
trp_french_hussar5_trumpet|5e Regiment de Hussards
trp_french_hussar5_trumpet_pl|Trompetenspieler
trp_french_mounted_chasseur|Regiment de Chasseurs a Cheval de la Garde
trp_french_mounted_chasseur_pl|Dragoner
trp_french_mounted_chasseur_flag_bearer|Regiment de Chasseurs a Cheval de la Garde
trp_french_mounted_chasseur_flag_bearer_pl|Flaggenträger
trp_french_mounted_chasseur_nco|Regiment de Chasseurs a Cheval de la Garde
trp_french_mounted_chasseur_nco_pl|Unteroffizier
trp_french_mounted_chasseur_officer|Regiment de Chasseurs a Cheval de la Garde
trp_french_mounted_chasseur_officer_pl|Offizier
trp_french_mounted_chasseur_trumpet|Regiment de Chasseurs a Cheval de la Garde
trp_french_mounted_chasseur_trumpet_pl|Trompetenspieler
trp_french_horseart|Artillerie a cheval française
trp_french_horseart_pl|Berittene Artillerie
trp_french_horseart_guard|Artillerie a cheval française
trp_french_horseart_guard_pl|Artillery Guard
trp_french_horseart_flag_bearer|Artillerie a cheval française
trp_french_horseart_flag_bearer_pl|Flaggenträger
trp_french_horseart_nco|Artillerie a cheval française
trp_french_horseart_nco_pl|Artillerie Zug
trp_french_horseart_officer|Artillerie a cheval française
trp_french_horseart_officer_pl|Offizier
trp_pruss_brun|Brunswick Infanterie-Regiment
trp_pruss_brun_pl|Garde zu Fuss
trp_pruss_brun_flag_bearer|Brunswick Infanterie-Regiment
trp_pruss_brun_flag_bearer_pl|Flaggenträger
trp_pruss_brun_nco|Brunswick Infanterie-Regiment
trp_pruss_brun_nco_pl|Unteroffizier
trp_pruss_brun_officer|Brunswick Infanterie-Regiment
trp_pruss_brun_officer_pl|Offizier
trp_pruss_brun_drum|Brunswick Infanterie-Regiment
trp_pruss_brun_drum_pl|Trommler
trp_pruss_brun_flute|Brunswick Infanterie-Regiment
trp_pruss_brun_flute_pl|Flötenspieler
trp_pruss_freiw|1. Schlesische Landwehr, Freiwillige Jäger
trp_pruss_freiw_pl|Leichte Infanterie
trp_pruss_freiw_flag_bearer|1. Schlesische Landwehr, Freiwillige Jäger
trp_pruss_freiw_flag_bearer_pl|Flaggenträger
trp_pruss_freiw_nco|1. Schlesische Landwehr, Freiwillige Jäger
trp_pruss_freiw_nco_pl|Unteroffizier
trp_pruss_freiw_officer|1. Schlesische Landwehr, Freiwillige Jäger
trp_pruss_freiw_officer_pl|Offizier
trp_pruss_freiw_horn|1. Schlesische Landwehr, Freiwillige Jäger
trp_pruss_freiw_horn_pl|Hornist
trp_pruss_cav_silesian|1. Schlesische Kurassier Regiment
trp_pruss_cav_silesian_pl|Kürassier
trp_pruss_cav_silesian_flag_bearer|1. Schlesische Kurassier Regiment
trp_pruss_cav_silesian_flag_bearer_pl|Flaggenträger
trp_pruss_cav_silesian_nco|1. Schlesische Kurassier Regiment
trp_pruss_cav_silesian_nco_pl|Unteroffizier
trp_pruss_cav_silesian_officer|1. Schlesische Kurassier Regiment
trp_pruss_cav_silesian_officer_pl|Offizier
trp_pruss_cav_silesian_trumpet|1. Schlesische Kurassier Regiment
trp_pruss_cav_silesian_trumpet_pl|Trompetenspieler
trp_pruss_horseart|Reitende Batterie Nr.20
trp_pruss_horseart_pl|Berittene Artillerie
trp_pruss_horseart_guard|Reitende Batterie Nr.20
trp_pruss_horseart_guard_pl|Artillery Guard
trp_pruss_horseart_flag_bearer|Reitende Batterie Nr.20
trp_pruss_horseart_flag_bearer_pl|Flaggenträger
trp_pruss_horseart_nco|Reitende Batterie Nr.20
trp_pruss_horseart_nco_pl|Artillerie Zug
trp_pruss_horseart_officer|Reitende Batterie Nr.20
trp_pruss_horseart_officer_pl|Offizier
trp_russian_butyrskiy_infantry|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_pl|Linieninfanterie
trp_russian_butyrskiy_infantry_flag_bearer|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_flag_bearer_pl|Flaggenträger
trp_russian_butyrskiy_infantry_nco|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_nco_pl|Unteroffizier
trp_russian_butyrskiy_infantry_officer|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_officer_pl|Offizier
trp_russian_butyrskiy_infantry_drum|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_drum_pl|Trommler
trp_russian_butyrskiy_infantry_flute|Butyrskiy Pehotniy Polk
trp_russian_butyrskiy_infantry_flute_pl|Flötenspieler
trp_russian_internal_guard|Interne Schutzvorrichtung
trp_russian_internal_guard_pl|Linieninfanterie
trp_russian_internal_guard_flag_bearer|Interne Schutzvorrichtung
trp_russian_internal_guard_flag_bearer_pl|Flaggenträger
trp_russian_internal_guard_nco|Interne Schutzvorrichtung
trp_russian_internal_guard_nco_pl|Unteroffizier
trp_russian_internal_guard_officer|Interne Schutzvorrichtung
trp_russian_internal_guard_officer_pl|Offizier
trp_russian_internal_guard_drum|Interne Schutzvorrichtung
trp_russian_internal_guard_drum_pl|Trommler
trp_russian_internal_guard_flute|Interne Schutzvorrichtung
trp_russian_internal_guard_flute_pl|Flötenspieler
trp_russian_litovski_guard|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_pl|Garde zu Fuss
trp_russian_litovski_guard_flag_bearer|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_flag_bearer_pl|Flaggenträger
trp_russian_litovski_guard_nco|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_nco_pl|Unteroffizier
trp_russian_litovski_guard_officer|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_officer_pl|Offizier
trp_russian_litovski_guard_drum|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_drum_pl|Trommler
trp_russian_litovski_guard_flute|Leib-Gvardii Litovskiy Polk
trp_russian_litovski_guard_flute_pl|Flötenspieler
trp_russian_finnish_jaeger|Finlandskiy Leib-Yegerskiy Polk
trp_russian_finnish_jaeger_pl|Leichte Infanterie
trp_russian_finnish_jaeger_flag_bearer|Finlandskiy Leib-Yegerskiy Polk
trp_russian_finnish_jaeger_flag_bearer_pl|Flaggenträger
trp_russian_finnish_jaeger_nco|Finlandskiy Leib-Yegerskiy Polk
trp_russian_finnish_jaeger_nco_pl|Unteroffizier
trp_russian_finnish_jaeger_officer|Finlandskiy Leib-Yegerskiy Polk
trp_russian_finnish_jaeger_officer_pl|Offizier
trp_russian_finnish_jaeger_horn|Finlandskiy Leib-Yegerskiy Polk
trp_russian_finnish_jaeger_horn_pl|Hornist
trp_russian_glukhovskiy_cuirassier|Glukhovskiy Kirasirskiy Polk
trp_russian_glukhovskiy_cuirassier_pl|Kürassier
trp_russian_glukhovskiy_cuirassier_flag_bearer|Glukhovskiy Kirasirskiy Polk
trp_russian_glukhovskiy_cuirassier_flag_bearer_pl|Flaggenträger
trp_russian_glukhovskiy_cuirassier_nco|Glukhovskiy Kirasirskiy Polk
trp_russian_glukhovskiy_cuirassier_nco_pl|Unteroffizier
trp_russian_glukhovskiy_cuirassier_officer|Glukhovskiy Kirasirskiy Polk
trp_russian_glukhovskiy_cuirassier_officer_pl|Offizier
trp_russian_glukhovskiy_cuirassier_trumpet|Glukhovskiy Kirasirskiy Polk
trp_russian_glukhovskiy_cuirassier_trumpet_pl|Trompetenspieler
